date,평균기온(°C),최저기온(°C),최고기온(°C),평균 이슬점온도(°C),평균 현지기압(hPa),평균 해면기압(hPa),합계 일사량(MJ/m2),평균 지면온도(°C),elec
20141026,15.2,7.7,21.5,12.0,1010.8,1019.0,15.88,15.6,732333.176735907
20141027,11.3,6.6,17.8,3.6,1015.1,1023.5,16.87,12.9,731757.3645090075
20141028,9.2,2.5,18.8,2.9,1018.0,1026.4,16.92,10.7,732561.149992176
20141029,10.5,3.1,20.5,5.2,1018.4,1026.8,13.81,11.6,732708.0407603376
20141030,11.2,5.0,17.5,7.4,1016.4,1024.8,8.84,11.4,731774.9462195494
20141031,12.1,11.2,12.7,11.7,1010.4,1018.7,1.62,12.0,733578.849043268
20141101,13.7,11.6,15.7,13.3,1005.5,1013.7,3.3,14.0,723436.9110886719
20141102,11.3,8.6,13.4,6.7,1004.7,1013.0,5.74,11.1,722821.8175982798
20141103,8.4,2.8,14.4,0.7,1011.7,1020.1,15.04,8.5,723269.1875970919
20141104,9.1,2.5,17.6,4.1,1014.1,1022.6,15.72,9.9,723390.5651199466
20141105,10.0,3.1,17.6,5.5,1013.1,1021.5,14.87,10.3,724029.1509694922
20141106,11.7,8.5,18.1,8.5,1012.9,1021.2,8.22,11.0,724079.4771881945
20141107,9.8,3.9,17.2,4.7,1017.2,1025.6,13.79,10.0,723627.3984982293
20141108,10.6,6.7,14.8,8.1,1016.6,1025.0,5.36,10.5,722857.5266684623
20141109,9.9,4.9,15.8,4.3,1015.8,1024.2,13.73,10.7,723260.7517734058
20141110,8.0,1.6,16.8,1.1,1014.6,1023.1,14.66,8.2,724476.076507673
20141111,8.8,1.2,16.0,4.3,1009.1,1017.5,12.45,8.4,724362.5793427211
20141112,7.9,2.7,11.8,2.0,1006.7,1015.1,7.54,7.7,722787.8698982298
20141113,2.3,-2.0,7.1,-5.4,1015.6,1024.3,12.47,3.5,723537.8037801173
20141114,5.8,1.4,11.6,-0.9,1017.3,1025.8,12.25,6.0,725140.1056470243
20141115,5.7,0.0,12.0,-0.4,1021.3,1029.9,12.61,5.6,724351.3397492028
20141116,8.4,4.2,13.5,-2.0,1017.4,1025.9,10.7,8.0,723526.3259061289
20141117,7.2,3.9,12.4,1.4,1016.5,1025.0,8.34,7.5,722507.3384935767
20141118,5.3,0.5,12.3,-0.9,1020.1,1028.8,13.44,5.9,723884.477911872
20141119,4.8,-2.0,12.4,-1.1,1019.7,1028.4,13.27,4.7,723592.894496245
20141120,6.1,-0.4,14.9,-0.1,1017.0,1025.6,12.28,5.4,725048.9261530123
20141121,8.0,0.6,17.1,2.1,1015.6,1024.1,11.07,6.5,723600.8653558865
20141122,8.0,3.8,13.6,6.2,1016.6,1025.1,5.42,6.6,723463.1636718366
20141123,7.6,5.6,9.6,6.8,1017.2,1025.8,4.14,8.7,722774.9649242351
20141124,8.8,8.3,9.4,8.6,1012.0,1020.4,1.08,8.8,722780.1560255783
20141125,9.8,7.1,12.4,6.7,1009.0,1017.4,2.57,9.0,723372.5992745988
20141126,10.0,6.6,14.3,5.2,1010.7,1019.0,6.41,9.5,724682.3976062983
20141127,9.4,5.1,16.2,6.8,1014.9,1023.3,11.16,9.0,722514.7922854145
20141128,9.5,5.2,13.9,9.0,1007.4,1015.7,1.4,8.3,724248.7631035595
20141129,10.3,6.7,14.9,7.1,1012.1,1020.5,8.62,11.3,724057.5727631849
20141130,9.4,6.7,10.9,8.9,1003.9,1012.3,1.54,9.3,723970.3056754706
20141201,1.6,-4.2,9.6,-1.6,1007.2,1015.8,5.83,4.3,761927.3806790344
20141202,-3.5,-5.9,0.7,-9.2,1014.4,1023.3,10.5,0.7,762330.519782807
20141203,-0.9,-4.0,1.6,-2.0,1012.1,1020.8,5.51,-0.2,762662.5850126254
20141204,-2.2,-4.3,1.0,-3.7,1011.9,1020.6,2.91,0.0,762675.2495758542
20141205,-4.9,-8.2,-0.1,-8.3,1013.4,1022.4,7.94,0.0,763102.4457435262
20141206,-3.2,-7.2,1.3,-7.7,1016.1,1025.0,11.28,-0.5,762453.6907829256
20141207,-2.0,-5.3,2.7,-5.7,1018.2,1027.1,7.54,-0.4,762227.537733406
20141208,-0.8,-3.6,4.0,-3.3,1021.8,1030.7,9.46,-0.3,762829.9954230677
20141209,-2.3,-7.7,3.7,-7.9,1026.6,1035.5,12.47,-0.7,763128.2595109134
20141210,0.7,-3.8,3.6,-2.6,1017.2,1026.0,2.73,-0.4,762976.7983137494
20141211,1.2,-3.7,4.5,-2.7,1014.9,1023.6,7.14,1.7,763200.4652629837
20141212,-0.9,-4.2,4.1,-4.2,1014.9,1023.6,9.41,0.7,763328.8237131563
20141213,-3.7,-6.5,-0.5,-7.6,1018.6,1027.5,6.98,0.5,762049.6092237494
20141214,-1.5,-8.2,3.9,-6.3,1021.4,1030.2,11.18,-0.5,762455.3535634105
20141215,2.4,-1.2,5.7,-0.9,1016.6,1025.2,3.85,1.7,760804.6907737689
20141216,-1.8,-7.0,2.9,-5.5,1011.2,1020.0,8.76,1.2,761852.2702810678
20141217,-6.8,-10.5,-4.0,-12.2,1017.1,1026.1,9.7,-1.0,762378.151563629
20141218,-4.9,-9.8,1.7,-12.4,1025.3,1034.3,11.93,-1.1,762735.6557604857
20141219,-2.6,-7.9,1.4,-7.2,1020.5,1029.4,5.78,-1.4,763326.2420708545
20141220,0.5,-4.3,4.2,-4.5,1013.5,1022.2,10.06,1.0,763498.1573998224
20141221,-3.7,-7.2,2.4,-9.2,1015.1,1024.0,11.04,-1.0,764250.2116521175
20141222,-3.0,-8.4,1.7,-4.7,1016.7,1025.5,6.76,-0.4,763800.720213137
20141223,-1.3,-6.3,3.6,-3.6,1017.8,1026.7,4.98,-0.6,761804.5695927065
20141224,2.2,-1.7,7.4,-0.8,1014.2,1022.9,3.87,0.6,762897.6161212312
20141225,-1.1,-4.4,4.5,-7.6,1019.6,1028.5,11.78,-0.1,762865.984533403
20141226,-2.3,-7.2,3.7,-10.0,1022.3,1031.2,11.86,-0.9,761836.8154601806
20141227,-1.4,-5.8,6.1,-7.3,1021.5,1030.4,10.1,-0.6,762595.8613631964
20141228,-0.8,-6.4,4.1,-5.1,1014.3,1023.1,7.17,-0.7,761495.5001115039
20141229,3.3,0.0,7.6,0.3,1007.3,1015.9,7.09,1.4,762521.8643861904
20141230,4.2,-1.0,10.1,-1.9,1009.2,1017.8,9.93,2.0,760229.2196802608
20141231,-0.6,-4.1,3.0,-5.6,1009.6,1018.3,5.36,-0.3,762543.207628495
20150101,-5.6,-8.3,-2.4,-11.9,1016.3,1025.3,10.53,-1.5,846155.6477335108
20150102,-4.7,-7.3,0.3,-10.4,1017.4,1026.3,8.42,-2.4,847424.0732217755
20150103,-2.9,-9.9,3.9,-7.2,1015.9,1024.8,11.35,-2.2,844424.7976860009
20150104,2.0,-2.6,10.3,-1.0,1010.4,1019.0,8.28,0.1,845189.604276172
20150105,3.2,-2.6,8.8,0.4,1008.6,1017.2,7.64,1.4,845933.1796416808
20150106,0.0,-5.8,4.5,-6.1,1008.1,1016.8,12.05,2.4,845033.8461872466
20150107,-4.2,-7.8,1.8,-12.6,1014.4,1023.3,10.66,-1.7,848281.7082484063
20150108,-3.1,-8.7,3.1,-8.2,1017.8,1026.7,12.54,-1.4,847898.7702342855
20150109,-1.4,-5.5,1.9,-3.6,1017.3,1026.1,4.5,-1.3,845617.9772737307
20150110,1.3,-4.3,7.1,-3.6,1015.9,1024.6,11.83,-0.1,847189.6441612777
20150111,1.4,-2.5,5.5,-5.3,1016.2,1024.9,11.31,0.8,846804.1996781544
20150112,-1.8,-6.7,4.6,-10.5,1026.0,1034.9,12.35,-0.7,846684.9179292795
20150113,0.2,-6.8,8.5,-6.0,1025.6,1034.4,10.04,-0.1,848103.0194906369
20150114,2.0,-0.2,5.2,-2.1,1018.3,1027.0,3.52,0.2,847091.839249442
20150115,2.4,-1.8,9.5,-2.1,1014.1,1022.8,8.17,1.7,848382.675681307
20150116,1.0,-2.2,3.5,-1.6,1012.8,1021.5,1.9,-0.2,848686.8367510495
20150117,-1.5,-5.0,3.3,-9.9,1020.2,1029.1,13.41,1.0,848728.3113534424
20150118,-0.6,-7.6,6.3,-5.2,1015.1,1023.8,11.87,-0.4,848048.9801561282
20150119,1.8,-2.5,5.0,-2.1,1015.1,1023.7,5.16,0.6,846687.7095425057
20150120,0.4,-5.2,6.7,-4.4,1018.8,1027.5,12.12,0.9,846156.8865034218
20150121,2.5,-1.2,6.2,-0.4,1013.6,1022.2,4.14,2.1,847409.3812152355
20150122,3.1,1.4,6.1,1.0,1010.6,1019.2,4.96,3.3,847811.2096289917
20150123,1.1,-1.6,5.8,-1.5,1014.4,1023.1,9.63,1.6,847015.3952944729
20150124,2.8,-1.7,8.7,-1.1,1018.0,1026.7,8.97,2.3,846606.8027428854
20150125,3.5,-1.3,8.4,1.1,1015.7,1024.4,5.04,3.3,848109.3598430513
20150126,5.3,2.5,7.7,4.3,1011.5,1020.1,1.82,5.0,847520.8410065817
20150127,-0.8,-6.2,3.4,-6.2,1016.2,1025.0,12.19,1.5,847346.0793891251
20150128,-3.4,-8.2,2.8,-9.9,1020.3,1029.2,13.32,-1.3,848250.7748425722
20150129,-0.2,-4.0,2.9,-2.5,1018.2,1027.0,4.07,0.2,847667.7949867926
20150130,-0.9,-4.5,2.9,-6.7,1017.5,1026.4,11.86,0.8,847050.6752483071
20150131,-3.5,-7.9,2.5,-10.8,1023.6,1032.6,15.23,-1.4,846033.9371901442
20150201,-2.3,-8.6,5.5,-9.9,1024.6,1033.5,15.45,-1.0,805856.4706059404
20150202,-0.5,-5.8,6.7,-8.8,1023.0,1031.9,13.14,0.1,805433.9680325538
20150203,0.5,-5.2,7.1,-6.6,1020.5,1029.3,10.2,0.1,805759.5000848289
20150204,0.0,-4.1,4.9,-3.2,1015.0,1023.8,8.43,-0.1,805488.2926616912
20150205,0.5,-3.1,5.3,-4.3,1015.4,1024.2,10.1,1.0,806104.0137740229
20150206,1.4,-3.0,7.8,-3.8,1017.6,1026.3,14.85,2.0,805717.5052371413
20150207,1.7,-2.5,5.4,-2.5,1013.3,1022.0,8.05,1.7,806644.6270157985
20150208,-6.0,-8.8,2.8,-15.3,1018.1,1027.1,16.61,-2.0,807317.4763243357
20150209,-4.5,-12.4,1.4,-12.0,1019.4,1028.4,14.99,-2.4,808436.3725662091
20150210,3.8,-0.5,9.2,-2.5,1010.6,1019.2,11.96,1.6,804810.3035556361
20150211,5.2,1.8,9.6,0.4,1005.1,1013.6,9.53,2.7,808399.1764852782
20150212,-0.5,-4.1,4.4,-11.4,1006.7,1015.4,17.0,0.8,805289.6907440212
20150213,-0.8,-5.6,5.2,-11.4,1012.1,1020.9,17.01,-0.3,806668.7009228017
20150214,2.4,-4.7,9.7,-2.2,1013.7,1022.3,12.89,1.1,804545.2450329539
20150215,6.1,0.0,11.7,1.7,1012.4,1020.9,7.72,4.2,806245.5352866502
20150216,4.8,4.4,6.2,4.4,1006.6,1015.1,1.33,4.7,805648.0974225153
20150217,3.1,1.5,5.6,-0.5,1008.7,1017.3,5.82,3.3,806887.0353504847
20150218,1.8,1.1,4.2,-2.0,1013.3,1022.0,4.25,2.3,806105.8785541746
20150219,2.4,-1.9,8.7,-2.6,1018.3,1027.0,15.82,3.6,804665.5016374462
20150220,4.8,-3.2,12.3,-1.8,1017.8,1026.4,14.59,4.5,805307.8641886355
20150221,6.5,5.3,7.4,3.8,1009.9,1018.4,3.39,5.6,805628.4123381219
20150222,6.0,0.8,10.8,2.1,1008.9,1017.4,12.0,7.0,806358.143783904
20150223,3.0,0.4,9.2,-3.2,1011.9,1020.5,15.66,5.3,805083.8667122058
20150224,3.5,-0.9,10.1,-3.1,1011.0,1019.6,17.26,4.0,805032.9072746388
20150225,5.8,-0.2,12.4,-2.4,1010.6,1019.2,11.43,5.3,805174.8491582995
20150226,3.3,-1.8,7.5,-6.5,1011.8,1020.4,16.0,5.5,805078.3029522477
20150227,-0.4,-3.5,4.1,-11.1,1019.1,1027.9,17.52,3.2,806260.6162673971
20150228,2.1,-4.1,7.1,-4.8,1018.3,1027.0,7.1,2.4,807716.1952821553
20150301,3.0,-0.1,6.6,-2.2,1012.0,1020.7,10.64,4.0,775769.5911909337
20150302,3.8,-3.1,11.0,-6.4,1011.4,1020.0,20.08,4.4,777425.8395625649
20150303,4.6,1.0,9.7,-2.5,1005.2,1013.7,8.25,6.0,775421.9880027487
20150304,-0.4,-3.5,4.9,-10.9,1013.9,1022.6,20.84,2.8,775136.6853698102
20150305,0.3,-6.0,6.9,-9.8,1018.1,1026.9,17.18,2.3,776511.6578686987
20150306,3.9,-4.0,12.1,-6.9,1015.5,1024.1,20.18,4.6,775700.9883753337
20150307,4.9,-2.4,12.6,-7.3,1015.5,1024.0,20.72,5.4,775723.1801009978
20150308,7.7,-2.1,16.8,-4.6,1014.2,1022.7,18.06,7.2,775288.6626271055
20150309,4.4,-4.1,11.0,-8.8,1012.6,1021.2,18.79,7.7,775370.1434679986
20150310,-1.7,-5.5,2.7,-14.5,1016.9,1025.8,22.85,3.0,776472.944784053
20150311,2.1,-3.2,8.5,-6.8,1013.2,1021.8,15.56,3.4,774678.3022552497
20150312,3.7,-2.5,10.6,-9.2,1012.1,1020.7,21.72,7.1,775697.6360939734
20150313,6.6,1.9,12.5,-3.5,1011.2,1019.7,12.41,7.9,776509.0941167836
20150314,5.0,-2.9,12.3,-6.8,1015.3,1023.9,20.12,7.5,775528.2698360649
20150315,6.8,-1.7,15.9,-5.0,1014.0,1022.5,19.51,9.5,774996.0420435141
20150316,10.3,0.6,20.4,-3.6,1012.3,1020.7,19.06,12.5,776805.6365894265
20150317,13.0,3.9,20.9,-0.4,1009.3,1017.5,13.99,13.3,776937.6479630441
20150318,9.7,8.5,12.7,7.2,1003.3,1011.6,1.77,9.1,775656.4542431886
20150319,13.8,7.4,21.4,7.4,1005.4,1013.6,22.14,15.0,776157.1544592283
20150320,14.0,8.9,21.7,1.5,1009.3,1017.5,17.69,13.4,774812.0609041513
20150321,12.4,5.2,19.7,-0.1,1008.0,1016.3,20.77,12.0,774994.8772000442
20150322,9.7,3.1,17.2,-3.5,1012.5,1020.9,22.16,11.3,775512.589173024
20150323,5.3,-0.4,11.7,-8.7,1018.1,1026.7,24.63,8.5,775798.1368199895
20150324,5.7,-1.4,13.6,-6.6,1022.7,1031.3,24.21,9.6,774590.7904144515
20150325,6.8,-2.1,15.6,-6.8,1026.1,1034.7,24.78,10.9,775503.1553629398
20150326,8.5,-0.7,17.8,-5.5,1025.1,1033.6,24.53,12.5,775774.7470757064
20150327,9.5,0.4,18.8,-4.6,1018.3,1026.7,20.19,11.5,777272.9639858928
20150328,10.6,0.6,20.2,-3.9,1010.5,1018.9,22.42,14.6,775515.3193424094
20150329,12.9,8.4,19.7,2.3,1009.3,1017.6,17.31,14.8,774841.5063154671
20150330,14.8,6.0,23.4,6.3,1010.1,1018.3,22.87,17.4,776197.2707500645
20150331,12.2,9.1,13.4,10.9,1007.0,1015.2,3.08,11.7,775357.8691576319
20150401,11.9,10.1,14.0,10.4,1007.1,1015.3,3.31,12.1,748507.6239718231
20150402,16.1,9.3,23.3,11.6,997.9,1005.9,18.29,17.8,749335.6050002028
20150403,12.0,9.5,19.6,10.0,998.5,1006.7,8.1,13.1,750184.2517164294
20150404,12.0,8.4,18.2,7.3,1005.8,1014.1,12.19,12.6,749309.7516828338
20150405,10.4,8.2,11.7,9.8,1006.0,1014.4,3.95,12.1,748554.3119224438
20150406,10.4,6.7,12.3,8.0,1010.3,1018.6,5.41,11.8,750536.6136654018
20150407,8.3,4.4,13.4,4.7,1015.0,1023.5,11.38,10.8,749060.1008801941
20150408,9.4,6.6,13.9,4.2,1017.3,1025.7,13.47,11.6,750489.302104302
20150409,10.3,5.2,16.7,3.3,1016.3,1024.8,22.11,13.5,749724.8311436856
20150410,11.5,4.0,19.0,1.4,1014.4,1022.8,24.78,14.2,750849.0715588892
20150411,13.6,4.4,22.4,0.6,1016.9,1025.2,25.84,16.0,750485.8727335628
20150412,13.0,6.5,18.3,0.6,1016.1,1024.4,12.22,12.9,751329.5963233017
20150413,10.8,8.8,13.2,6.5,1009.4,1017.7,5.43,10.6,750283.6925385679
20150414,9.0,6.9,13.3,6.4,1000.2,1008.6,10.84,12.2,749285.0254741557
20150415,11.9,6.8,18.3,7.0,1001.3,1009.5,23.69,14.0,750304.4850418441
20150416,11.3,6.6,21.3,6.8,1001.8,1010.1,13.13,10.9,747681.4612008509
20150417,11.1,4.3,18.3,0.5,1009.2,1017.5,27.06,13.4,749220.1014906161
20150418,13.1,3.3,21.0,3.1,1007.5,1015.8,14.14,14.6,750237.9562589382
20150419,14.3,12.1,16.7,13.8,998.7,1006.9,4.21,14.8,750451.6274837444
20150420,11.5,8.2,15.3,11.0,998.6,1006.8,3.63,12.5,749407.0645230645
20150421,13.3,6.2,22.6,5.6,1008.0,1016.3,26.08,15.8,748603.3263320874
20150422,13.6,6.7,19.9,5.2,1010.8,1019.1,22.99,15.1,747008.7635056919
20150423,14.5,6.0,22.7,0.1,1013.2,1021.5,26.73,15.9,749325.7199385534
20150424,17.2,11.5,24.7,4.6,1011.6,1019.7,25.92,17.7,750026.4354214773
20150425,16.4,6.8,25.8,1.2,1012.2,1020.3,28.62,18.6,748442.2852008169
20150426,18.0,7.9,27.0,1.8,1011.1,1019.2,27.53,19.9,748826.7009890471
20150427,19.3,10.7,26.9,2.2,1008.5,1016.6,27.61,21.7,751116.6116396001
20150428,17.7,10.0,24.6,9.3,1005.4,1013.5,13.98,19.1,750408.1480205061
20150429,16.3,14.6,18.7,14.8,1003.9,1012.0,5.7,17.0,747643.8101532661
20150430,20.2,14.7,25.7,14.4,1004.9,1012.9,23.86,21.1,748299.883709745
20150501,21.3,14.1,28.8,15.7,1005.5,1013.5,25.93,24.1,741051.2014032226
20150502,21.7,15.8,27.4,16.1,1003.7,1011.7,22.33,23.6,741408.9461725645
20150503,19.2,17.1,21.8,17.6,998.7,1006.7,7.42,20.7,742036.4845206747
20150504,16.4,10.2,21.3,6.4,1001.9,1010.0,27.61,20.2,740244.5734776426
20150505,13.6,5.7,21.4,2.8,1004.1,1012.3,30.84,18.3,741315.4958169028
20150506,14.8,6.4,23.0,4.7,1004.0,1012.1,19.14,16.9,741100.6528350501
20150507,16.7,8.1,25.1,4.3,1004.6,1012.7,26.71,20.1,741823.3812609244
20150508,16.5,9.3,21.4,8.4,1005.4,1013.5,15.36,18.0,740523.0138697374
20150509,19.0,14.6,25.0,11.2,1005.0,1013.0,25.61,23.1,741691.4371973553
20150510,19.8,12.1,26.7,10.8,1009.0,1017.0,28.56,24.0,741201.7587316639
20150511,18.2,13.5,24.6,13.4,1002.4,1010.4,16.62,20.6,740075.0340867351
20150512,14.9,11.6,19.3,10.3,994.0,1002.1,24.6,18.4,740598.3832584078
20150513,19.8,13.6,25.0,10.0,997.7,1005.6,29.35,20.3,741615.3037909345
20150514,22.3,14.6,29.1,14.3,999.6,1007.5,20.44,22.8,740668.5381798266
20150515,20.2,16.9,22.6,17.3,1001.0,1008.9,11.31,21.1,742055.8386707414
20150516,19.0,13.7,26.1,6.7,1002.6,1010.6,31.22,23.2,739697.0263007032
20150517,18.6,10.1,26.8,5.6,1003.0,1011.1,28.02,21.9,741957.9022270021
20150518,18.7,14.5,24.0,10.1,997.3,1005.3,18.34,20.7,740582.3596721663
20150519,18.1,14.4,23.7,13.6,998.6,1006.6,17.48,20.6,740334.1900526428
20150520,16.9,11.1,22.7,8.2,1000.9,1009.0,32.28,23.0,740720.3556702144
20150521,19.0,11.1,27.0,8.8,1006.4,1014.5,31.22,24.3,739880.6991724372
20150522,21.3,15.0,28.0,8.7,1006.2,1014.2,29.19,26.1,739712.3522149052
20150523,21.4,14.6,28.5,8.3,1003.2,1011.2,29.26,26.9,742638.9816589516
20150524,20.8,12.5,29.2,5.8,1000.8,1008.8,31.6,26.7,742242.2230996649
20150525,20.9,12.0,29.8,10.1,1001.4,1009.4,30.81,27.1,740931.9069271779
20150526,22.3,13.3,31.8,9.5,1003.7,1011.6,31.86,28.3,741499.0557039559
20150527,23.3,13.2,32.0,6.5,1002.3,1010.2,32.47,28.5,741027.0840445155
20150528,24.5,17.4,32.1,8.9,1000.8,1008.6,29.19,30.1,741035.3401131778
20150529,24.4,17.1,30.9,11.6,999.5,1007.3,27.36,30.8,741024.8817256745
20150530,18.5,15.9,22.5,15.2,998.0,1005.9,11.43,20.4,741020.3418364465
20150531,21.1,14.3,28.6,13.3,1000.3,1008.2,25.66,25.1,741770.3405937067
20150601,23.3,15.8,30.2,12.5,1002.2,1010.1,28.27,28.9,716564.4065579083
20150602,22.5,18.0,29.3,13.0,1000.1,1008.0,19.02,27.8,716069.579084456
20150603,22.1,17.2,27.5,8.7,1000.0,1007.9,31.42,29.1,717476.2153679453
20150604,22.9,13.5,30.1,8.1,1002.0,1009.8,27.69,29.7,716731.7665810183
20150605,18.8,14.4,23.2,10.2,999.1,1007.1,13.2,22.0,717095.4870495722
20150606,22.1,14.0,29.3,12.0,1004.4,1012.3,29.33,29.6,717631.1728971776
20150607,24.1,16.9,31.2,13.8,1005.1,1013.0,29.26,31.5,717766.5673622049
20150608,22.0,18.0,25.9,14.7,999.7,1007.6,12.78,26.4,716335.3884573719
20150609,23.1,17.1,30.0,15.7,999.2,1007.0,26.36,30.1,717505.8673069377
20150610,25.8,17.8,35.0,16.7,999.5,1007.3,26.87,32.5,718182.0655076547
20150611,23.2,19.0,27.3,17.6,994.7,1002.5,9.53,25.9,717989.2414548101
20150612,24.8,20.2,30.7,15.7,995.9,1003.7,29.59,31.7,716391.2672114755
20150613,26.2,20.0,32.5,15.7,997.8,1005.6,22.76,31.5,717288.9676926106
20150614,23.1,19.3,28.1,18.1,999.6,1007.5,19.03,24.6,716240.1596633418
20150615,24.9,21.7,30.1,19.4,999.2,1007.0,19.87,29.3,717638.5903640615
20150616,24.6,21.0,30.3,19.6,997.4,1005.2,24.43,28.5,717878.979472695
20150617,22.5,19.9,27.7,20.2,996.6,1004.5,9.97,25.3,716570.2376082406
20150618,25.0,19.3,31.0,16.4,997.6,1005.4,28.21,29.7,718766.3707152237
20150619,25.1,20.8,30.5,17.2,1000.2,1008.0,24.77,33.3,717505.3884034109
20150620,20.7,18.0,23.1,18.2,1001.1,1009.1,6.89,23.2,717190.6051943244
20150621,23.5,17.9,28.7,17.9,1001.9,1009.7,27.54,27.6,716588.2662956173
20150622,24.4,20.0,29.7,18.1,1002.2,1010.0,23.5,28.7,717206.17365057
20150623,25.0,18.3,30.9,16.8,1002.7,1010.5,28.55,31.9,717581.0372878128
20150624,24.0,21.1,30.1,19.6,1000.9,1008.8,15.74,27.5,717641.3601080831
20150625,21.8,19.7,24.9,19.3,995.5,1003.3,11.66,24.1,717180.1389357669
20150626,20.4,18.8,22.7,18.7,988.8,996.6,8.55,22.4,716501.8689498269
20150627,23.4,17.9,29.1,18.1,998.0,1005.9,26.78,29.2,717291.192518716
20150628,24.9,19.6,30.4,18.7,1001.7,1009.6,27.71,28.5,717261.4947031934
20150629,25.7,19.8,31.7,19.4,999.0,1006.8,26.28,29.3,717104.2998009833
20150630,22.3,19.7,26.8,19.6,991.3,999.1,8.35,23.0,717215.8337198319
20150701,22.8,19.3,28.3,18.1,989.0,996.8,22.28,26.7,725995.3071158744
20150702,23.6,18.5,28.8,17.3,994.1,1001.9,28.54,29.5,725657.968169749
20150703,23.7,20.2,29.4,16.1,997.9,1005.7,27.22,29.8,726743.4951733827
20150704,23.3,16.5,29.9,14.4,1001.4,1009.3,31.94,31.3,725922.3537841139
20150705,24.2,20.2,30.2,17.6,1003.2,1011.1,28.03,32.8,726913.703016636
20150706,24.3,20.0,29.1,19.0,1003.3,1011.2,23.09,30.1,725700.6253014931
20150707,20.4,17.6,23.2,17.5,1002.7,1010.7,5.98,22.0,725397.8997971205
20150708,21.4,18.0,25.1,20.0,1003.3,1011.2,10.87,23.2,727395.095553241
20150709,22.0,20.2,23.9,20.6,1006.8,1014.7,8.39,23.2,727410.4429078078
20150710,26.5,21.7,31.5,22.0,1005.3,1013.1,25.82,31.4,727400.873298299
20150711,27.1,23.9,32.8,23.4,1001.5,1009.2,19.67,31.3,725535.8706929447
20150712,24.8,23.2,26.6,23.2,987.5,995.2,4.96,25.3,726643.6208227334
20150713,23.9,22.2,26.4,21.7,988.1,995.9,6.15,24.5,726645.8042155999
20150714,26.4,22.7,31.4,21.9,996.1,1003.9,25.93,28.9,726986.3985111415
20150715,27.0,21.9,32.9,21.2,998.2,1006.0,25.81,29.1,725562.2705996031
20150716,25.1,20.9,29.5,17.6,998.4,1006.2,25.0,28.8,726157.6388960239
20150717,23.2,18.4,27.3,16.4,998.3,1006.1,21.13,27.9,725993.1625897954
20150718,24.4,21.5,27.8,20.7,1001.3,1009.1,11.61,27.1,725740.3092824152
20150719,25.8,22.4,30.3,22.5,1002.4,1010.2,16.96,29.6,727473.4666509327
20150720,27.4,24.2,31.4,23.0,1000.9,1008.6,19.86,33.5,725509.1911029529
20150721,26.4,24.2,29.7,24.6,999.1,1006.9,9.74,30.1,725500.4573066558
20150722,27.2,24.6,30.6,25.0,998.3,1006.1,13.84,28.4,725838.5451083409
20150723,25.6,24.7,28.6,24.9,999.5,1007.3,7.87,26.2,724611.1217910956
20150724,25.5,24.5,26.5,24.8,997.6,1005.4,2.76,25.8,727094.84524572
20150725,27.1,24.6,30.4,23.7,998.8,1006.5,13.17,27.7,724819.2705836977
20150726,28.6,24.5,32.9,22.8,1000.0,1007.7,25.64,30.8,727018.9594775678
20150727,25.7,24.6,28.0,23.8,1000.7,1008.5,8.13,27.6,726065.6766780544
20150728,27.5,24.7,31.4,24.3,1000.4,1008.1,20.71,29.6,726281.284708159
20150729,27.1,24.6,31.2,25.4,999.5,1007.3,11.07,27.5,725095.2324114798
20150730,29.4,25.9,34.3,25.3,1000.9,1008.6,25.12,30.8,726272.6314957144
20150731,29.6,25.5,34.0,24.6,1001.5,1009.2,28.3,33.1,725093.5190954156
20150801,29.3,25.4,33.8,24.1,1002.2,1010.0,27.77,33.8,776041.4029660345
20150802,28.0,26.0,31.7,25.0,1002.5,1010.3,13.8,29.4,775188.1892171841
20150803,29.0,25.0,33.4,22.8,1001.5,1009.3,27.86,34.7,774850.3913260247
20150804,28.7,24.0,33.8,22.6,999.9,1007.6,28.01,33.7,777082.5269643047
20150805,29.0,24.4,33.8,23.2,1000.9,1008.6,24.23,35.2,775239.12440225
20150806,29.9,24.7,35.2,24.1,1003.8,1011.5,26.47,36.8,774284.2113743784
20150807,30.6,25.8,36.3,24.2,1006.7,1014.5,23.84,33.7,776848.053884203
20150808,27.7,25.0,34.3,24.0,1005.8,1013.6,16.6,31.5,775595.1597458327
20150809,27.6,23.8,32.3,23.0,1003.2,1011.0,22.48,32.7,774753.2519769091
20150810,26.3,23.2,29.9,22.4,1002.0,1009.8,14.28,30.1,775938.7022166117
20150811,25.9,23.5,28.5,21.8,1000.0,1007.8,6.78,27.8,776374.1141561287
20150812,25.3,21.8,30.2,19.6,997.0,1004.8,17.92,31.6,776017.1679556401
20150813,26.4,22.2,32.0,21.6,997.3,1005.1,20.01,29.9,776456.9918044647
20150814,27.0,21.9,32.8,21.7,998.3,1006.1,22.23,35.3,775375.5690767182
20150815,28.0,22.5,33.6,22.1,1000.2,1007.9,22.77,36.6,775065.2184952492
20150816,26.7,23.0,29.7,22.0,999.4,1007.2,10.3,29.7,775771.5131630099
20150817,26.8,21.0,32.5,20.2,1000.1,1007.8,23.9,32.2,775531.1256474783
20150818,27.9,23.1,33.2,20.6,1004.5,1012.3,22.86,33.9,776233.9114572824
